Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,87.839996,89.230003,87.339996,88.610001,88.610001,3820100
2018-10-23,87.019997,87.610001,84.440002,86.330002,86.330002,5809000
2018-10-24,86.070000,86.709999,81.919998,82.190002,82.190002,5220800
2018-10-25,82.690002,86.269997,82.480003,85.599998,85.599998,4328600
2018-10-26,84.099998,85.580002,82.839996,84.629997,84.629997,3364300
2018-10-29,85.980003,86.949997,83.919998,84.989998,84.989998,3902000
2018-10-30,84.379997,86.250000,84.379997,85.849998,85.849998,4363200
2018-10-31,87.250000,87.699997,85.370003,85.510002,85.510002,3796500
2018-11-01,85.620003,88.470001,85.620003,88.040001,88.040001,3398900
2018-11-02,88.470001,90.279999,88.010002,88.680000,88.680000,3335900
2018-11-05,88.980003,89.820000,88.279999,89.470001,89.470001,2735500
2018-11-06,90.000000,90.250000,88.830002,89.639999,89.639999,2187400
2018-11-07,90.220001,92.330002,89.650002,92.160004,92.160004,3792200
2018-11-08,92.089996,92.849998,91.529999,92.559998,92.559998,2460300
2018-11-09,92.410004,93.599998,91.739998,92.349998,92.349998,4254100
2018-11-12,92.360001,92.690002,91.029999,91.199997,91.199997,2903200
2018-11-13,91.629997,93.379997,91.629997,92.599998,92.599998,3696600
2018-11-14,93.029999,93.470001,91.379997,91.790001,91.790001,2387000
2018-11-15,91.400002,92.660004,89.019997,91.980003,91.980003,3691500
2018-11-16,91.839996,92.599998,90.070000,92.260002,92.260002,2837900
2018-11-19,92.320000,92.949997,91.160004,92.089996,92.089996,2684600
2018-11-20,91.199997,92.790001,90.449997,91.769997,91.769997,3232500
2018-11-21,91.919998,93.379997,91.820000,92.860001,92.860001,3771600
